1101.0,台泥,+
1102.0,亞泥,~
1216.0,統一,~
1301.0,台塑,~
1303.0,南亞,~
1326.0,台化,-
1402.0,遠東新,~
2002.0,中鋼,~
2105.0,正新,~
2207.0,和泰車,+
2227.0,裕日車,+
2301.0,光寶科,+
2303.0,聯電,+
2308.0,台達電,~
2317.0,鴻海,~
2327.0,國巨,+
2330.0,台積電,+
2352.0,佳世達,+
2357.0,華碩,~
2379.0,瑞昱,+
2382.0,廣達,+
2395.0,研華,+
2408.0,南亞科,+
2412.0,中華電,+
2454.0,聯發科,+
2474.0,可成,~
2609.0,陽明,-
2610.0,華航,-
2633.0,台灣高鐵,~
2801.0,彰銀,+
2880.0,華南金,+
2881.0,富邦金,~
2882.0,國泰金,~
2883.0,開發金,~
2884.0,玉山金,+
2885.0,元大金,+
2886.0,兆豐金,+
2887.0,台新金,+
2890.0,永豐金,+
2891.0,中信金,+
2892.0,第一金,+
2912.0,統一超,~
3008.0,大立光,~
3045.0,台灣大,~
3711.0,日月光投控,~
4904.0,遠傳,~
4938.0,和碩,+
5871.0,中租-KY,+
5876.0,上海商銀,~
5880.0,合庫金,+
6415.0,矽力-KY,+
6505.0,台塑化,-
6669.0,緯穎,+
9910.0,豐泰,~
